Tag,q20,Species,DBH_cm,Height,CC,Lianas,Illumination
114732,2923,ADE1TR,21.4,9.8,4,1,2
114807,2923,ADE1TR,22.5,11.8,4,2,2
296262,3106,ALCHCO,21.2,15.2,4,4,3
257770,115,ALCHCO,20.9,15.5,2,2,2
257824,115,ALCHCO,22.4,16,3,4,3
257848,115,ALCHCO,29.6,16.7,4,2,3
257818,115,ALCHCO,21.3,16.9,2,1,3
128230,4917,ALCHCO,28.5,16.9,4,4,3
5231,1905,ALCHCO,23.7,17.3,4,0,3
252921,215,ALCHCO,29.8,17.3,1,4,2
252898,215,ALCHCO,33.5,17.5,4,3,4
2358,3617,ALCHCO,41.2,20.2,4,3,4
1086,4312,ALCHCO,43.1,22.1,4,0,3
4934,2102,ALCHCO,81.9,31.6,3,1,3
99474,3223,ALSEBL,22.5,13.2,4,1,2
2689,3416,ALSEBL,25.6,16,2,2,3
3492,2923,ALSEBL,30.5,16.4,1,2,4
7227,713,ALSEBL,40.9,17.5,3,4,3
172153,1815,ALSEBL,22.6,17.6,4,4,3
259254,124,ALSEBL,24.3,17.8,4,1,3
3145,3123,ALSEBL,39.1,17.9,4,4,3
2681,3414,ALSEBL,49.5,18,4,2,3
165952,1906,ALSEBL,22,19.7,4,0,3
240553,402,ALSEBL,23.9,19.7,4,0,2
5316,1807,ALSEBL,44.8,20,3,4,3
820,4501,ALSEBL,37.5,20.1,4,4,3
8076,212,ALSEBL,42.2,20.1,4,3,3
4871,2115,ALSEBL,27,20.2,4,1,2
242466,412,ALSEBL,24.5,20.3,2,4,4
2528,3509,ALSEBL,40.1,20.8,3,2,3
181662,1608,ALSEBL,25,20.9,3,1,2
25227,4601,ALSEBL,26.2,20.9,4,0,4
7764,419,ALSEBL,54.3,20.9,3,4,3
7799,423,ALSEBL,32.9,21.1,4,4,3
3120,3224,ALSEBL,38.1,21.2,4,4,3
7717,411,ALSEBL,48.4,21.7,4,1,3
2354,3616,ALSEBL,61,21.9,3,4,4
4469,2322,ALSEBL,26.5,22.1,4,2,3
165783,1905,ALSEBL,34,22.1,4,0,3
2470,3516,ALSEBL,37.7,22.2,3,4,3
7914,308,ALSEBL,42.2,22.3,4,2,4
5540,1708,ALSEBL,48.4,22.9,3,3,3
7625,502,ALSEBL,62.7,22.9,4,0,3
5257,1902,ALSEBL,42.2,23.1,4,4,3
47,4917,ALSEBL,44.2,23.1,2,4,3
6561,1107,ALSEBL,41.1,23.3,4,1,3
5891,1504,ALSEBL,42.1,23.3,4,0,3
2275,3604,ALSEBL,53.5,23.7,3,1,2
5956,1406,ALSEBL,54,24.1,4,3,5
4538,2314,ALSEBL,46.6,24.8,4,2,3
7577,508,ALSEBL,31.7,24.9,4,4,3
122629,2715,ALSEBL,24.7,25.2,3,0,3
4831,2120,ALSEBL,49.5,25.2,4,4,3
1111,4310,ALSEBL,38.2,25.3,4,0,3
3415,3016,ALSEBL,30.4,25.6,4,0,3
2467,3517,ALSEBL,51.8,26.4,4,0,4
1034,4320,ALSEBL,45.7,26.5,4,0,3
2326,3612,ALSEBL,58,27.1,4,0,3
513,4604,ALSEBL,41.4,27.5,4,0,4
4528,2316,ALSEBL,49.3,29.2,4,1,3
1283,4215,ALSEBL,69.6,29.3,4,0,3
359,4717,ALSEBL,48,29.5,4,2,4
6745,1014,ALSEBL,68,30.5,4,0,3
779,4507,ALSEBL,55,30.9,4,0,3
2933,3301,ALSEBL,91.5,32.4,4,0,4
1082,4314,ALSEBL,45.9,34.1,4,3,4
22,4921,ANACEX,179.5,31.3,4,4,4
87,4911,ANACEX,95.6,32.7,4,3,4
2425,3523,ANACEX,107.1,34.6,4,2,4
6259,1300,ANACEX,143.8,36.1,4,4,4
4955,2100,ANACEX,149,36.2,4,1,5
1164,4301,ANACEX,145.2,37.1,3,4,3
4717,2215,ANACEX,110.4,37.3,4,2,4
17,4921,ANACEX,173.5,37.9,4,3,4
5678,1613,ANACEX,187.4,37.9,4,1,4
5197,1912,ANACEX,184.3,38.6,4,0,4
379,4714,ANACEX,226.6,39.7,4,1,5
3721,2811,ANACEX,131.2,40,4,0,4
1152,4302,ANACEX,120.8,40.3,4,2,4
3870,2714,ANACEX,113,40.4,4,0,4
4306,2402,ANACEX,125.7,40.5,4,0,4
556,4612,ANACEX,86.3,41.7,4,0,4
8162,222,ANDIIN,44.1,28.2,4,0,4
5362,1816,APEIME,36,16.1,4,4,3
82615,3516,APEIME,23.9,16.4,3,4,3
7576,508,APEIME,36.2,17.4,4,3,3
180862,1604,APEIME,27.8,18.1,2,3,3
2846,3314,APEIME,44.6,23,4,4,4
8213,120,APEIME,37.7,23.1,4,4,3
4586,2306,APEIME,43.5,23.8,4,4,3
156272,2107,APEIME,49.2,23.8,4,0,3
3141,3123,APEIME,78.4,24.1,2,4,4
7343,605,APEIME,49.7,24.3,4,1,3
2133,3717,APEIME,47.8,24.5,4,4,4
4743,2218,APEIME,49.4,24.6,4,2,4
7365,609,APEIME,85.1,26.5,3,3,3
1581,4003,APEIME,82.8,27.1,2,4,4
8048,209,APEIME,56.6,29.3,4,3,4
1135,4306,APEIME,72,29.5,4,2,4
1119,4309,APEIME,52.5,30.1,3,0,3
5232,1905,APEIME,69.2,30.1,3,1,4
1438,4114,APEIME,73.3,30.2,4,1,3
1031,4320,APEIME,59.2,30.3,4,0,4
269,4817,APEIME,100.6,30.9,4,1,4
4465,2323,APEIME,73.4,31.4,4,0,4
3475,3024,APEIME,84.5,32.2,4,3,4
3889,2711,APEIME,114.7,32.4,3,3,4
8074,212,APEIME,89.6,32.5,4,0,4
2888,3308,APEIME,85.7,32.7,4,2,4
7082,815,APEIME,88.1,32.7,4,0,4
3206,3113,APEIME,93.2,33.8,4,1,4
103259,3116,ASPICR,24.7,24.1,4,1,3
428,4707,ASPICR,85.3,30.7,4,4,4
8205,121,ASPICR,62.4,31.8,4,1,4
2309,3609,ASPICR,99,32.9,4,0,5
1796,3918,ASPICR,91,35.7,4,2,4
1045,4318,ASPICR,61.7,37.1,4,0,4
5869,1508,ASPICR,78.5,37.7,4,0,4
2178,3710,ASPICR,101.1,38.5,3,0,4
4825,2121,ASPICR,77,38.9,4,4,3
918,4412,ASPICR,69.3,40.7,4,0,4
4787,2222,ASPICR,108,41.8,4,0,5
1493,4108,ASPICR,93.8,42.8,4,0,5
2560,3503,ASPICR,112.2,43.8,4,1,5
7234,712,AST2GR,47,31.1,2,3,4
7663,403,AST2GR,42.5,35.7,4,0,4
7391,612,AST2GR,60,36.3,4,0,4
4901,2108,AST2GR,49.7,37.4,4,0,4
5221,1907,AST2GR,84.1,39.9,4,1,5
1328,4220,BEILPE,22.5,20.5,4,0,2
56972,4020,BEILPE,28.5,23.4,4,4,3
1392,4120,BEILPE,28.7,25.1,4,0,2
28496,4617,BEILPE,35.9,25.2,4,0,4
16865,4210,BEILPE,25.7,26.3,4,3,3
1388,4121,BEILPE,43.6,27.1,4,0,3
7067,812,BEILPE,53.2,27.5,3,3,4
58825,4023,BEILPE,29.7,27.9,4,2,3
2496,3513,BEILPE,48.9,28.6,4,0,4
1345,4221,BEILPE,40.6,28.7,4,0,3
4744,2218,BEILPE,45.5,28.8,4,4,3
20,4921,BEILPE,59.9,29,2,0,3
1347,4221,BEILPE,34.7,29.3,4,0,3
13135,523,BEILPE,42.2,29.3,4,0,3
868,4405,BEILPE,34,29.7,4,4,3
7826,322,BEILPE,71.2,29.7,4,0,4
43196,4320,BEILPE,35.6,29.9,4,0,4
25,4921,BEILPE,34,30.5,4,1,3
7222,713,BEILPE,53.1,30.7,4,0,3
7330,503,BEILPE,58.7,30.7,4,0,4
1776,3921,BEILPE,47,31.7,3,4,4
1016,4322,BEILPE,41.2,32.7,4,0,4
4085,2620,BEILPE,56.2,33.2,4,0,4
1265,4212,BEILPE,53.4,34,4,0,4
3644,2800,BEILPE,85,34.2,3,3,4
620,4621,BEILPE,65.9,34.3,4,0,4
7153,724,BEILPE,84.3,36.3,4,0,4
1745,4023,BEILPE,48,36.7,4,0,4
1747,4024,BEILPE,67.1,37.9,4,0,4
1739,4023,BEILPE,73.5,38.5,4,1,4
800,4505,BROSAL,47.3,22.1,2,1,4
2173,3711,BROSAL,62.5,31.1,4,0,4
6171,1313,BROSAL,61.3,33.3,4,4,4
4609,2302,BROSAL,43.3,33.6,2,0,3
13136,523,BROSAL,78.3,33.7,4,0,4
50,4916,BROSAL,77.1,34.7,4,4,4
4903,2108,BROSAL,75.3,34.8,4,0,4
6193,1310,BROSAL,66.5,34.9,4,0,5
4471,2322,BROSAL,72.7,35.7,3,3,4
6704,1006,BROSAL,114.2,37.5,4,0,5
2278,3604,BROSAL,67.1,37.7,4,0,4
4156,2518,BROSAL,104.8,38.3,4,0,4
7086,816,BROSAL,111,38.9,4,0,4
4524,2316,BROSAL,98.7,39.4,4,0,5
7621,502,BROSAL,77.8,39.7,4,0,4
4673,2206,BROSAL,76.6,40.3,4,3,4
3681,2805,BROSAL,89.5,40.4,4,0,4
226,4810,BROSAL,91.9,40.4,4,1,5
4274,2501,BROSAL,107.8,40.6,4,3,4
2347,3614,BROSAL,83.5,42.3,4,0,5
1730,4022,BROSAL,110.5,43.3,4,0,5
8,4923,BROSAL,118.6,43.5,4,0,5
25032,4600,CALOLO,30.5,17.4,4,2,2
7341,605,CALOLO,57.7,24.9,1,4,4
7369,609,CALOLO,54.8,29.9,4,2,4
191,4803,CALOLO,78.7,32.1,4,0,4
6163,1315,CALOLO,75.6,34.5,4,2,4
3994,2605,CALOLO,88.3,36.4,4,1,5
7246,710,CALOLO,94.5,36.7,4,2,4
949,4417,CALOLO,68.5,40.9,4,0,4
7797,423,CASEAR,50.2,28.5,4,0,4
147565,2316,CASESY,21.2,13.4,4,4,2
198772,1313,CASSEL,21.8,18.1,4,1,2
61292,3907,CASSEL,27.5,20.1,4,0,3
1980,3810,CASSEL,32.9,23.1,4,3,3
2741,3422,CAVAPL,138.7,31.8,4,0,5
120,4906,CAVAPL,160.1,34.7,3,1,5
2016,3816,CAVAPL,124.4,36.3,4,0,5
427,4707,CAVAPL,139.9,36.3,4,0,5
3603,2906,CAVAPL,136.8,39.8,4,0,4
3008,3208,CAVAPL,162.7,39.8,4,0,4
3661,2803,CAVAPL,133,40,4,0,5
1091,4312,CAVAPL,190,41.5,4,0,5
3628,2903,CAVAPL,216.2,43,4,0,5
2948,3201,CAVAPL,231.3,44,4,0,5
3654,2801,CAVAPL,210,45.8,4,0,4
719030,1901,CECRIN,20,19.5,4,0,3
633185,3315,CECRIN,25.7,21.4,4,0,4
259246,124,CECRIN,22.2,21.6,4,0,3
719121,1902,CECRIN,26.5,21.7,4,0,4
721404,2117,CECRIN,28.7,21.7,4,0,4
725369,2516,CECRIN,22.2,22,4,0,3
440922,4020,CECRIN,29,22.3,4,0,3
734126,3404,CECRIN,27.4,22.5,4,0,4
133250,2620,CECRIN,28.4,22.9,4,0,3
257704,115,CECRIN,24.9,23.1,4,0,3
138650,2521,CECRIN,20.2,23.2,4,0,3
259248,124,CECRIN,27.1,23.5,4,0,3
259310,124,CECRIN,29.3,23.5,4,0,3
272347,713,CECRIN,28.1,24.1,3,0,2
405283,512,CECRIN,39.4,24.3,4,0,4
613049,1305,CECRIN,29.3,24.5,4,0,3
275527,1019,CECRIN,29.4,24.7,4,0,4
633195,3315,CECRIN,33.6,24.8,4,0,4
239708,424,CECRIN,35,25.5,2,0,3
77665,3616,CECRIN,21.3,26.3,4,0,4
719031,1901,CECRIN,26.1,27,4,0,4
8187,124,CECRIN,45.2,27.3,4,0,4
4846,2119,CECRIN,44.4,28,4,0,4
4839,2120,CECRIN,44.7,28.4,4,0,4
4088,2621,CECRIN,40.7,30.2,4,0,4
4137,2521,CECRIN,31.9,30.4,4,0,4
39052,4423,CECRIN,27.9,30.5,4,0,4
7317,601,CECRIN,41.2,30.5,3,0,4
54145,4124,CECRIN,37.2,30.7,4,0,4
6089,1424,CECRIN,39.6,30.9,3,0,3
80756,3504,CECRIN,45.8,31.4,4,0,4
725352,2516,CECROB,20,22.2,4,0,3
719036,1901,CECROB,21.3,22.2,4,0,3
713072,1305,CECROB,21.8,23.7,4,4,4
25041,4600,CEIBPE,23.5,19.7,2,0,3
2307,3609,CEIBPE,46.1,22.8,4,0,4
4446,2424,CEIBPE,46.1,26,3,3,4
5444,1723,CEIBPE,93,32.7,4,0,5
5027,2012,CEIBPE,128.9,36,4,0,5
4722,2215,CEIBPE,97,36.9,4,0,5
3853,2717,CEIBPE,127.9,37.4,4,1,5
4694,2210,CEIBPE,169.4,39.1,4,0,5
7772,420,CEIBPE,148.2,39.9,4,0,5
4146,2519,CEIBPE,153.2,41.1,4,0,5
1993,3812,CEIBPE,216.1,41.1,4,0,5
6647,1003,CEIBPE,176.2,42.7,4,1,4
28183,4616,CHIMPA,20.6,22.3,4,0,3
176143,1707,CHR2AR,28.8,20.1,4,4,3
6847,920,CHR2AR,32.3,21.9,2,3,4
4735,2217,CHR2CA,50.7,23.6,3,3,4
4898,2109,CHR2CA,75.2,31.9,4,2,3
2673,3413,CHR2CA,100.5,34.4,4,0,4
673,4521,CHR2CA,83.9,34.6,4,0,4
4585,2306,COLUGL,45.6,35,1,4,0
257823,115,CORDAL,27.3,26.9,4,0,4
258071,116,CORDAL,37.8,28.3,4,0,4
409336,912,CORDBI,24.8,15.3,2,4,4
173632,1823,CORDBI,23.7,16.4,4,0,3
258076,116,CORDBI,26.5,16.5,4,3,2
7347,606,CORDBI,35.3,18.1,4,4,3
6781,1019,CORDBI,30.1,19.5,3,4,3
217175,912,CORDBI,21.9,20.3,4,0,3
252149,211,CORDBI,26.8,20.9,4,4,3
236664,509,CORDBI,27.2,23.3,4,0,2
4385,2414,CORDBI,30.6,26.7,4,0,3
525,4606,CORDBI,44,26.9,3,4,2
4836,2120,CORDBI,35.2,27.5,4,0,4
7302,701,CORDBI,37.8,27.5,4,1,5
180376,1601,CUPALA,27.1,15.5,4,4,3
805,4504,CUPALA,50,26.1,4,0,3
172148,1815,DENDAR,20.7,13.3,2,2,2
6749,1014,DENDAR,23.3,14.1,4,1,2
244157,420,DENDAR,27.7,14.7,3,4,1
5946,1404,DENDAR,26.6,15.1,4,3,1
4447,2424,DENDAR,31.4,16,3,3,2
4443,2423,DENDAR,28.7,17.9,4,0,2
1390,4121,DENDAR,44.3,21.5,4,0,2
1089,4313,DENDAR,78.4,30.7,4,0,4
240714,403,DIPTPA,43.8,33.5,4,0,4
6058,1420,DIPTPA,85.5,34.3,4,2,5
138502,2521,DIPTPA,49.8,35.1,4,0,4
6133,1318,DIPTPA,93.1,35.9,4,2,4
2854,3312,DIPTPA,60.5,36.2,4,1,4
7221,713,DIPTPA,74.8,39.9,4,0,4
7715,411,DIPTPA,121.2,40.5,4,0,5
7173,720,DIPTPA,109,41.4,4,0,4
3711,2810,DIPTPA,101.5,41.6,4,0,5
5440,1723,DIPTPA,93.8,41.7,3,0,5
684,4520,DIPTPA,83.2,41.9,4,0,5
1907,3901,DIPTPA,84.5,42.1,4,0,4
3875,2714,DIPTPA,78.9,42.4,4,0,4
1441,4114,DIPTPA,89.3,42.8,4,0,5
7114,819,DIPTPA,100.7,43.3,4,0,5
7927,307,DIPTPA,96.8,43.9,4,0,5
7168,721,DIPTPA,93.5,44.4,4,0,4
465,4702,DIPTPA,102.3,47.3,4,0,5
4186,2513,DIPTPA,138.3,48.4,4,0,5
1342,4221,DIPTPA,174.6,54.9,4,0,5
96221,3206,DRYPST,23.2,16.4,4,3,3
521,4605,DRYPST,23.7,16.7,4,2,2
45308,4801,DRYPST,22.4,16.9,4,1,3
129082,4923,DRYPST,26.8,18.5,4,0,3
125511,4903,DRYPST,22,18.7,4,3,3
26867,4610,DRYPST,39.5,19.9,4,1,3
17573,4212,DRYPST,22.1,20.6,4,4,3
407,4709,DRYPST,22,21.3,4,4,3
75514,3603,DRYPST,23.2,21.3,4,0,3
858,4404,DRYPST,41.6,21.3,4,2,4
1262,4212,DRYPST,41.1,24.2,4,0,4
80861,3504,DRYPST,28.2,27.2,4,1,3
157093,2114,EUGECO,25,22.4,4,4,3
5541,1708,EUGENE,31.5,15.1,2,1,3
52503,4112,EUGENE,24.7,18.8,4,0,2
1251,4210,EUGENE,35.7,19.1,1,0,3
12488,4821,EUGENE,26.5,19.5,4,0,3
7361,608,EUGENE,33.5,24.5,4,0,2
176354,1708,EUGEOE,23.8,16.1,3,1,3
141770,2409,EUGEOE,22.1,17.7,4,0,3
146461,2308,EUGEOE,29.8,17.8,4,4,3
251666,208,EUGEOE,27.6,18.9,4,3,2
197229,1304,EUGEOE,29.8,19.1,4,1,3
108402,3016,EUGEOE,30,24.8,4,0,3
2371,3618,FICUC2,99.1,28.5,2,4,4
285887,2019,FICUOB,93,32.6,4,0,4
6022,1415,FICUOB,87.9,35.5,3,3,4
6716,1009,FICUPO,177,34.3,4,4,4
4462,2323,FICUYO,71.2,32,4,2,3
108,4908,FICUYO,92.4,38.5,4,0,4
4767,2221,GAR2MA,22.3,17.5,4,4,3
198936,1315,GENIAM,29.8,17.9,4,4,3
92240,3311,GUAPST,23.8,19.4,4,1,2
7231,712,GUAPST,47.5,24.1,4,4,4
4090,2621,GUAPST,46.7,24.9,4,4,3
1816,3915,GUAPST,51.5,26.1,3,4,3
5001,2007,GUAPST,42,27.4,2,3,3
7626,502,GUAPST,72.2,27.7,3,0,4
4851,2118,GUAPST,48.5,28.2,3,0,3
5048,2015,GUAPST,51.8,29.4,4,0,3
230141,600,GUAPST,48.5,30.3,4,0,3
1878,3906,GUAPST,61.5,30.3,4,2,4
30247,4501,GUAPST,48.3,30.7,4,4,5
10799,4812,GUAPST,49.3,30.9,4,0,4
7310,700,GUAPST,52.9,32.3,4,2,4
4861,2117,GUAPST,60.7,32.5,4,1,4
2500,3513,GUAPST,77.7,35.4,4,2,4
7496,520,GUAPST,90.1,35.5,4,0,4
4590,2306,GUARGR,45,24.4,3,1,3
2660,3410,GUARGR,86.9,30.8,4,1,4
3761,2816,GUARGR,109.5,34.4,4,0,4
5002,2007,GUARGU,25,12.4,3,4,2
2690,3416,GUARGU,28.4,14.8,2,4,3
5608,1600,GUARGU,41.2,15.9,4,4,3
156491,2109,GUARGU,21.4,16.5,4,0,1
6750,1014,GUARGU,38,16.7,4,0,2
67223,3811,GUARGU,21.1,16.9,4,4,2
133,4904,GUARGU,32.5,16.9,4,0,3
1377,4123,GUARGU,30.6,17.5,3,0,1
1962,3806,GUARGU,26,17.7,4,2,2
8043,208,GUARGU,29.7,18.3,4,1,3
5042,2015,GUARGU,24.2,19,4,1,2
263687,21,GUATDU,22.5,20,3,4,2
4389,2414,GUATDU,27.4,20,4,0,2
228661,720,GUATDU,23,20.4,4,0,4
230878,605,GUATDU,35,20.7,4,2,3
235969,505,GUATDU,41.2,29.1,4,0,3
5631,1604,GUATDU,56,30.7,4,1,4
