Tag,q20,Species,DBH_cm,Height,CC,Lianas,Illumination,no height,liana cat 1 height,liana cat 2 height
114732,2923,ADE1TR,21.4,9.8,4,1,2,18.13237745,17.07642999,16.24360267
114807,2923,ADE1TR,22.5,11.8,4,1,2,18.7324406,17.64154818,16.78115972
5231,1905,ALCHCO,23.7,17.3,4,0,3,19.36266694,18.235073,17.345738
1086,4312,ALCHCO,43.1,22.1,4,0,3,26.94639982,25.37716366,24.13950478
257818,115,ALCHCO,21.3,16.9,2,1,3,18.07672467,17.02401818,16.19374701
4934,2102,ALCHCO,81.9,31.6,3,1,3,34.65919907,32.64080444,31.04889363
257770,115,ALCHCO,20.9,15.5,2,1,2,17.85222979,16.81259686,15.99263683
257848,115,ALCHCO,29.6,16.7,4,1,3,22.13472772,20.84570153,19.82904467
252898,215,ALCHCO,33.5,17.5,4,2,4,23.71403712,22.33303911,21.24384394
2358,3617,ALCHCO,41.2,20.2,4,2,4,26.36985009,24.83418957,23.62301185
296262,3106,ALCHCO,21.2,15.2,4,2,3,18.02088443,16.97142982,16.14372342
257824,115,ALCHCO,22.4,16,3,2,3,18.67879133,17.5910232,16.73309888
128230,4917,ALCHCO,28.5,16.9,4,2,3,21.65544198,20.39432722,19.39968414
252921,215,ALCHCO,29.8,17.3,1,2,2,22.22018497,20.92618214,19.90560019
165952,1906,ALSEBL,22,19.7,4,0,3,18.46240774,17.38724081,16.53925507
240553,402,ALSEBL,23.9,19.7,4,0,2,19.46532691,18.33175452,17.4377043
25227,4601,ALSEBL,26.2,20.9,4,0,4,20.59981545,19.40017559,18.45401786
165783,1905,ALSEBL,34,22.1,4,0,3,23.90399719,22.51193676,21.41401665
7625,502,ALSEBL,62.7,22.9,4,0,3,31.60221144,29.76184192,28.31033976
5891,1504,ALSEBL,42.1,23.3,4,0,3,26.64642338,25.09465648,23.87077564
122629,2715,ALSEBL,24.7,25.2,3,0,3,19.86940385,18.71229985,17.79969022
1111,4310,ALSEBL,38.2,25.3,4,0,3,25.39992051,23.92074429,22.75411582
3415,3016,ALSEBL,30.4,25.6,4,0,3,22.47352982,21.16477333,20.13255515
2467,3517,ALSEBL,51.8,26.4,4,0,4,29.26922745,27.56472033,26.22037306
1034,4320,ALSEBL,45.7,26.5,4,0,3,27.6921843,26.07951703,24.80760397
2326,3612,ALSEBL,58,27.1,4,0,3,30.66267482,28.87701965,27.46867078
513,4604,ALSEBL,41.4,27.5,4,0,4,26.43186228,24.89259045,23.67856449
1283,4215,ALSEBL,69.6,29.3,4,0,3,32.82952598,30.91768322,29.40981002
6745,1014,ALSEBL,68,30.5,4,0,3,32.55949996,30.66338229,29.16791149
779,4507,ALSEBL,55,30.9,4,0,3,30.01213868,28.26436779,26.88589831
2933,3301,ALSEBL,91.5,32.4,4,0,4,35.8401593,33.75299091,32.10683812
99474,3223,ALSEBL,22.5,13.2,4,1,2,18.7324406,17.64154818,16.78115972
259254,124,ALSEBL,24.3,17.8,4,1,3,19.66866573,18.5232518,17.61986215
4871,2115,ALSEBL,27,20.2,4,1,2,20.9755184,19.7539993,18.79058539
181662,1608,ALSEBL,25,20.9,3,1,2,20.01827965,18.8525058,17.93305824
7717,411,ALSEBL,48.4,21.7,4,1,3,28.41825112,26.76330101,25.45803942
6561,1107,ALSEBL,41.1,23.3,4,1,3,26.33872434,24.80487644,23.59512834
2275,3604,ALSEBL,53.5,23.7,3,1,2,29.6705099,27.94263391,26.57985558
4528,2316,ALSEBL,49.3,29.2,4,1,3,28.65009533,26.98164367,25.66573338
2689,3416,ALSEBL,25.6,16,2,1,3,20.31180259,19.12893529,18.19600611
3492,2923,ALSEBL,30.5,16.4,1,1,4,22.51531824,21.20412818,20.16999065
2681,3414,ALSEBL,49.5,18,4,1,3,28.70095531,27.02954179,25.71129548
2528,3509,ALSEBL,40.1,20.8,3,1,3,26.02300622,24.50754431,23.31229727
4469,2322,ALSEBL,26.5,22.1,4,1,3,20.74180241,19.53389387,18.58121463
7914,308,ALSEBL,42.2,22.3,4,1,4,26.67676377,25.12322999,23.89795561
4538,2314,ALSEBL,46.6,24.8,4,1,3,27.93945867,26.31239126,25.0291208
359,4717,ALSEBL,48,29.5,4,1,4,28.3136196,26.66476276,25.36430693
8076,212,ALSEBL,42.2,20.1,4,2,3,26.67676377,25.12322999,23.89795561
5540,1708,ALSEBL,48.4,22.9,3,2,3,28.41825112,26.76330101,25.45803942
5956,1406,ALSEBL,54,24.1,4,2,5,29.78565118,28.05106989,26.68300307
1082,4314,ALSEBL,45.9,34.1,4,2,4,27.74760161,26.13170709,24.8572487
7227,713,ALSEBL,40.9,17.5,3,2,3,26.27623198,24.74602336,23.53914556
172153,1815,ALSEBL,22.6,17.6,4,2,3,18.78591291,17.69190651,16.82906205
3145,3123,ALSEBL,39.1,17.9,4,2,3,25.69895747,24.20236669,23.02200334
5316,1807,ALSEBL,44.8,20,3,2,3,27.43942874,25.84148081,24.58117691
820,4501,ALSEBL,37.5,20.1,4,2,3,25.16232777,23.69698788,22.54127214
242466,412,ALSEBL,24.5,20.3,2,2,4,19.76935685,18.61807913,17.7100647
7764,419,ALSEBL,54.3,20.9,3,2,3,29.8541241,28.11555526,26.74434345
7799,423,ALSEBL,32.9,21.1,4,2,3,23.48250311,22.11498859,21.03642787
3120,3224,ALSEBL,38.1,21.2,4,2,3,25.36625051,23.88903508,22.72395309
2354,3616,ALSEBL,61,21.9,3,2,4,31.27291512,29.45172232,28.01534487
2470,3516,ALSEBL,37.7,22.2,3,2,3,25.23066683,23.76134718,22.6024926
5257,1902,ALSEBL,42.2,23.1,4,2,3,26.67676377,25.12322999,23.89795561
47,4917,ALSEBL,44.2,23.1,2,2,3,27.26779079,25.67983828,24.42741779
7577,508,ALSEBL,31.7,24.9,4,2,3,23.00732983,21.66748725,20.61075142
4831,2120,ALSEBL,49.5,25.2,4,2,3,28.70095531,27.02954179,25.71129548
5197,1912,ANACEX,184.3,38.6,4,0,4,41.90724058,39.46675288,37.54193663
3721,2811,ANACEX,131.2,40,4,0,4,39.27114736,36.98417377,35.18043433
3870,2714,ANACEX,113,40.4,4,0,4,37.92795225,35.71920026,33.97715431
4306,2402,ANACEX,125.7,40.5,4,0,4,38.89753617,36.63232001,34.84574068
556,4612,ANACEX,86.3,41.7,4,0,4,35.2236974,33.17242895,31.5545905
4955,2100,ANACEX,149,36.2,4,1,5,40.3260137,37.97760948,36.12541961
5678,1613,ANACEX,187.4,37.9,4,1,4,42.02188287,39.57471892,37.6446371
379,4714,ANACEX,226.6,39.7,4,1,5,43.2346314,40.71684247,38.73105863
2425,3523,ANACEX,107.1,34.6,4,1,4,37.41818263,35.23911731,33.52048528
4717,2215,ANACEX,110.4,37.3,4,1,4,37.7084337,35.51246548,33.7805021
1152,4302,ANACEX,120.8,40.3,4,1,4,38.54229616,36.29776757,34.52750455
87,4911,ANACEX,95.6,32.7,4,2,4,36.29153871,34.17808402,32.5111992
17,4921,ANACEX,173.5,37.9,4,2,4,41.48090119,39.06524156,37.16000725
22,4921,ANACEX,179.5,31.3,4,2,4,41.72311599,39.29335087,37.37699153
6259,1300,ANACEX,143.8,36.1,4,2,4,40.03975432,37.70802055,35.86897869
1164,4301,ANACEX,145.2,37.1,3,2,3,40.11846435,37.78214687,35.93948982
8162,222,ANDIIN,44.1,28.2,4,0,4,27.23893593,25.65266379,24.40156862
156272,2107,APEIME,49.2,23.8,4,0,3,28.62457605,26.95761051,25.64287233
1119,4309,APEIME,52.5,30.1,3,0,3,29.43632663,27.72208842,26.37006621
1031,4320,APEIME,59.2,30.3,4,0,4,30.91139558,29.11125604,27.69148333
4465,2323,APEIME,73.4,31.4,4,0,4,33.43901022,31.49167386,29.9558068
8074,212,APEIME,89.6,32.5,4,0,4,35.62088823,33.54648919,31.9104076
7082,815,APEIME,88.1,32.7,4,0,4,35.44299021,33.37895114,31.75104048
7343,605,APEIME,49.7,24.3,4,1,3,28.75157852,27.07721693,25.75664548
5232,1905,APEIME,69.2,30.1,3,1,4,32.76279352,30.85483696,29.3500288
1438,4114,APEIME,73.3,30.2,4,1,3,33.42351737,31.47708325,29.94192778
269,4817,APEIME,100.6,30.9,4,1,4,36.80495597,34.66160219,32.9711359
3206,3113,APEIME,93.2,33.8,4,1,4,36.03082894,33.93255681,32.27764649
4743,2218,APEIME,49.4,24.6,4,1,4,28.67555502,27.0056207,25.68854104
1135,4306,APEIME,72,29.5,4,1,4,33.219483,31.28493092,29.75914683
2888,3308,APEIME,85.7,32.7,4,1,4,35.14914491,33.10221806,31.48780384
7576,508,APEIME,36.2,17.4,4,2,3,24.70900505,23.27006462,22.13517017
180862,1604,APEIME,27.8,18.1,2,2,3,21.34202963,20.09916658,19.11891866
7365,609,APEIME,85.1,26.5,3,2,3,35.07384698,33.03130514,31.42034938
8048,209,APEIME,56.6,29.3,4,2,4,30.36434125,28.59605967,27.20141338
3475,3024,APEIME,84.5,32.2,4,2,4,34.99779248,32.95967971,31.35221716
3889,2711,APEIME,114.7,32.4,3,2,4,38.06733763,35.85046846,34.10202048
5362,1816,APEIME,36,16.1,4,2,3,24.63782815,23.20303273,22.07140747
82615,3516,APEIME,23.9,16.4,3,2,3,19.46532691,18.33175452,17.4377043
2846,3314,APEIME,44.6,23,4,2,4,27.3824984,25.78786584,24.53017678
8213,120,APEIME,37.7,23.1,4,2,3,25.23066683,23.76134718,22.6024926
4586,2306,APEIME,43.5,23.8,4,2,3,27.06429175,25.4881901,24.2451164
3141,3123,APEIME,78.4,24.1,2,2,4,34.17889055,32.18846692,30.61861686
2133,3717,APEIME,47.8,24.5,4,2,4,28.26093056,26.61514209,25.31710629
1581,4003,APEIME,82.8,27.1,2,2,4,34.778096,32.75277735,31.15540555
2309,3609,ASPICR,99,32.9,4,0,5,36.64484525,34.51081559,32.82770325
1045,4318,ASPICR,61.7,37.1,4,0,4,31.40989964,29.58072949,28.13806028
5869,1508,ASPICR,78.5,37.7,4,0,4,34.19302437,32.20177765,30.63127842
2178,3710,ASPICR,101.1,38.5,3,0,4,36.85421566,34.70799323,33.01526442
918,4412,ASPICR,69.3,40.7,4,0,4,32.77952442,30.87059352,29.36501691
4787,2222,ASPICR,108,41.8,4,0,5,37.49867735,35.31492439,33.5925952
1493,4108,ASPICR,93.8,42.8,4,0,5,36.09691963,33.99479868,32.33685278
103259,3116,ASPICR,24.7,24.1,4,1,3,19.86940385,18.71229985,17.79969022
8205,121,ASPICR,62.4,31.8,4,1,4,31.54492959,29.70789591,28.25902473
2560,3503,ASPICR,112.2,43.8,4,1,5,37.86123863,35.65637174,33.91738997
1796,3918,ASPICR,91,35.7,4,1,4,35.78309873,33.69925329,32.05572131
428,4707,ASPICR,85.3,30.7,4,2,4,35.0990298,33.05502143,31.44290901
4825,2121,ASPICR,77,38.9,4,2,3,33.97837058,31.99962432,30.43898422
7663,403,AST2GR,42.5,35.7,4,0,4,26.76732455,25.20851692,23.97908304
7391,612,AST2GR,60,36.3,4,0,4,31.07374846,29.26415423,27.83692458
4901,2108,AST2GR,49.7,37.4,4,0,4,28.75157852,27.07721693,25.75664548
5221,1907,AST2GR,84.1,39.9,4,1,5,34.94666357,32.91152832,31.30641414
7234,712,AST2GR,47,31.1,2,2,4,28.04764466,26.41427699,25.1260375
1328,4220,BEILPE,22.5,20.5,4,0,2,18.7324406,17.64154818,16.78115972
1392,4120,BEILPE,28.7,25.1,4,0,2,21.7437707,20.47751207,19.47881202
28496,4617,BEILPE,35.9,25.2,4,0,4,24.60209311,23.16937875,22.03939481
1388,4121,BEILPE,43.6,27.1,4,0,3,27.0935808,25.51577349,24.27135453
2496,3513,BEILPE,48.9,28.6,4,0,4,28.5476585,26.88517229,25.57396697
1345,4221,BEILPE,40.6,28.7,4,0,3,26.18188677,24.65717238,23.45462789
20,4921,BEILPE,59.9,29,2,0,3,31.0536028,29.24518176,27.81887741
1347,4221,BEILPE,34.7,29.3,4,0,3,24.16549425,22.75820542,21.64827465
13135,523,BEILPE,42.2,29.3,4,0,3,26.67676377,25.12322999,23.89795561
7826,322,BEILPE,71.2,29.7,4,0,4,33.09144859,31.16435265,29.64444923
43196,4320,BEILPE,35.6,29.9,4,0,4,24.49429693,23.06786012,21.94282731
7222,713,BEILPE,53.1,30.7,4,0,3,29.57746691,27.85500933,26.49650449
7330,503,BEILPE,58.7,30.7,4,0,4,30.80852929,29.01438021,27.59933219
1016,4322,BEILPE,41.2,32.7,4,0,4,26.36985009,24.83418957,23.62301185
4085,2620,BEILPE,56.2,33.2,4,0,4,30.27743728,28.5142166,27.12356184
1265,4212,BEILPE,53.4,34,4,0,4,29.64732716,27.92080123,26.55908769
620,4621,BEILPE,65.9,34.3,4,0,4,32.19215797,30.31743263,28.83883399
7153,724,BEILPE,84.3,36.3,4,0,4,34.9722709,32.93564439,31.32935406
1745,4023,BEILPE,48,36.7,4,0,4,28.3136196,26.66476276,25.36430693
1747,4024,BEILPE,67.1,37.9,4,0,4,32.40390857,30.51685184,29.02852742
25,4921,BEILPE,34,30.5,4,1,3,23.90399719,22.51193676,21.41401665
1739,4023,BEILPE,73.5,38.5,4,1,4,33.45447458,31.50623765,29.96966031
58825,4023,BEILPE,29.7,27.9,4,1,3,22.17752005,20.88600182,19.8673795
16865,4210,BEILPE,25.7,26.3,4,2,3,20.36018328,19.17449851,18.23934718
7067,812,BEILPE,53.2,27.5,3,2,4,29.60080584,27.8769891,26.5174123
3644,2800,BEILPE,85,34.2,3,2,4,35.06122407,33.01941733,31.40904135
56972,4020,BEILPE,28.5,23.4,4,2,3,21.65544198,20.39432722,19.39968414
4744,2218,BEILPE,45.5,28.8,4,2,3,27.63649633,26.02707208,24.7577168
868,4405,BEILPE,34,29.7,4,2,3,23.90399719,22.51193676,21.41401665
1776,3921,BEILPE,47,31.7,3,2,4,28.04764466,26.41427699,25.1260375
2173,3711,BROSAL,62.5,31.1,4,0,4,31.56406244,29.72591454,28.27616458
4609,2302,BROSAL,43.3,33.6,2,0,3,27.00549347,25.43281597,24.19244289
13136,523,BROSAL,78.3,33.7,4,0,4,34.16473181,32.17513272,30.60593298
4903,2108,BROSAL,75.3,34.8,4,0,4,33.72805038,31.76388163,30.21473885
6193,1310,BROSAL,66.5,34.9,4,0,5,32.29865581,30.41772853,28.9342384
6704,1006,BROSAL,114.2,37.5,4,0,5,38.02667359,35.81217251,34.06559225
2278,3604,BROSAL,67.1,37.7,4,0,4,32.40390857,30.51685184,29.02852742
4156,2518,BROSAL,104.8,38.3,4,0,4,37.2077423,35.04093207,33.33196565
7086,816,BROSAL,111,38.9,4,0,4,37.75978962,35.56083066,33.82650849
4524,2316,BROSAL,98.7,39.4,4,0,5,36.61439632,34.48213987,32.80042606
7621,502,BROSAL,77.8,39.7,4,0,4,34.09356203,32.10810755,30.54217666
3681,2805,BROSAL,89.5,40.4,4,0,4,35.60916192,33.53544577,31.89990278
2347,3614,BROSAL,83.5,42.3,4,0,5,34.86932281,32.83869153,31.23712964
1730,4022,BROSAL,110.5,43.3,4,0,5,37.7170226,35.52055419,33.78819632
8,4923,BROSAL,118.6,43.5,4,0,5,38.37537668,36.14056872,34.37797239
800,4505,BROSAL,47.3,22.1,2,1,4,28.1281051,26.49005178,25.19811671
226,4810,BROSAL,91.9,40.4,4,1,5,35.88548335,33.79567549,32.14744095
4471,2322,BROSAL,72.7,35.7,3,2,4,33.32995787,31.38897223,29.85811399
4673,2206,BROSAL,76.6,40.3,4,2,4,33.92015653,31.9448004,30.3868341
4274,2501,BROSAL,107.8,40.6,4,2,4,37.48087775,35.29816136,33.57664971
6171,1313,BROSAL,61.3,33.3,4,2,4,31.33186479,29.50723903,28.068154
50,4916,BROSAL,77.1,34.7,4,2,4,33.99285928,32.01326927,30.4519637
191,4803,CALOLO,78.7,32.1,4,0,4,34.22121752,32.22832895,30.6565348
949,4417,CALOLO,68.5,40.9,4,0,4,32.64477592,30.74369217,29.24430461
3994,2605,CALOLO,88.3,36.4,4,1,5,35.46696039,33.40152541,31.77251379
25032,4600,CALOLO,30.5,17.4,4,1,2,22.51531824,21.20412818,20.16999065
7369,609,CALOLO,54.8,29.9,4,1,4,29.96724028,28.22208406,26.84567678
6163,1315,CALOLO,75.6,34.5,4,1,4,33.7727826,31.80600885,30.2548115
7246,710,CALOLO,94.5,36.7,4,1,4,36.17324945,34.06668339,32.40523164
7341,605,CALOLO,57.7,24.9,1,2,4,30.59949762,28.8175216,27.41207449
7797,423,CASEAR,50.2,28.5,4,0,4,28.87711131,27.19543926,25.86910204
147565,2316,CASESY,21.2,13.4,4,2,2,18.02088443,16.97142982,16.14372342
61292,3907,CASSEL,27.5,20.1,4,0,3,21.20564418,19.9707236,18.99673992
198772,1313,CASSEL,21.8,18.1,4,1,2,18.35313197,17.28432877,16.44136211
1980,3810,CASSEL,32.9,23.1,4,2,3,23.48250311,22.11498859,21.03642787
2741,3422,CAVAPL,138.7,31.8,4,0,5,39.74219768,37.42779226,35.6024173
2016,3816,CAVAPL,124.4,36.3,4,0,5,38.80543234,36.54557989,34.76323092
427,4707,CAVAPL,139.9,36.3,4,0,5,39.81378593,37.49521154,35.66654849
3603,2906,CAVAPL,136.8,39.8,4,0,4,39.62678669,37.31910229,35.49902819
3008,3208,CAVAPL,162.7,39.8,4,0,4,41.00744534,38.61935763,36.73586933
3661,2803,CAVAPL,133,40,4,0,5,39.38806669,37.09428425,35.28517466
1091,4312,CAVAPL,190,41.5,4,0,5,42.11557073,39.66295083,37.72856589
3628,2903,CAVAPL,216.2,43,4,0,5,42.95021595,40.44899009,38.47626957
2948,3201,CAVAPL,231.3,44,4,0,5,43.35578538,40.830941,38.83959251
3654,2801,CAVAPL,210,45.8,4,0,4,42.76902195,40.27834801,38.3139498
120,4906,CAVAPL,160.1,34.7,3,1,5,40.88555247,38.50456326,36.62667355
719030,1901,CECRIN,20,19.5,4,0,3,17.33584225,16.32628139,15.53003925
633185,3315,CECRIN,25.7,21.4,4,0,4,20.36018328,19.17449851,18.23934718
259246,124,CECRIN,22.2,21.6,4,0,3,18.57095855,17.48947012,16.6364986
719121,1902,CECRIN,26.5,21.7,4,0,4,20.74180241,19.53389387,18.58121463
721404,2117,CECRIN,28.7,21.7,4,0,4,21.7437707,20.47751207,19.47881202
725369,2516,CECRIN,22.2,22,4,0,3,18.57095855,17.48947012,16.6364986
440922,4020,CECRIN,29,22.3,4,0,3,21.87526688,20.60135051,19.59661079
734126,3404,CECRIN,27.4,22.5,4,0,4,21.15990238,19.92764559,18.95576285
133250,2620,CECRIN,28.4,22.9,4,0,3,21.61107648,20.35254536,19.35994001
257704,115,CECRIN,24.9,23.1,4,0,3,19.9688127,18.80591958,17.88874406
138650,2521,CECRIN,20.2,23.2,4,0,3,17.45196839,16.43564487,15.63406901
259248,124,CECRIN,27.1,23.5,4,0,3,21.02182819,19.79761222,18.83207128
259310,124,CECRIN,29.3,23.5,4,0,3,22.00558073,20.72407547,19.71335039
272347,713,CECRIN,28.1,24.1,3,0,2,21.47716821,20.2264353,19.23998041
405283,512,CECRIN,39.4,24.3,4,0,4,25.79706598,24.29476181,23.10989229
613049,1305,CECRIN,29.3,24.5,4,0,3,22.00558073,20.72407547,19.71335039
275527,1019,CECRIN,29.4,24.7,4,0,4,22.04875862,20.76473888,19.75203061
633195,3315,CECRIN,33.6,24.8,4,0,4,23.75224412,22.36902111,21.27807107
239708,424,CECRIN,35,25.5,2,0,3,24.27600854,22.86228386,21.74727712
77665,3616,CECRIN,21.3,26.3,4,0,4,18.07672467,17.02401818,16.19374701
719031,1901,CECRIN,26.1,27,4,0,4,20.55218956,19.35532321,18.41135296
8187,124,CECRIN,45.2,27.3,4,0,4,27.55245265,25.94792272,24.68242759
4846,2119,CECRIN,44.4,28,4,0,4,27.32528644,25.73398564,24.47892435
4839,2120,CECRIN,44.7,28.4,4,0,4,27.41099865,25.81470636,24.55570827
4088,2621,CECRIN,40.7,30.2,4,0,4,26.21341648,24.68686594,23.48287328
4137,2521,CECRIN,31.9,30.4,4,0,4,23.08767159,21.74315026,20.68272431
39052,4423,CECRIN,27.9,30.5,4,0,4,21.38721354,20.14171918,19.15939595
7317,601,CECRIN,41.2,30.5,3,0,4,26.36985009,24.83418957,23.62301185
54145,4124,CECRIN,37.2,30.7,4,0,4,25.05912701,23.59979706,22.44882138
6089,1424,CECRIN,39.6,30.9,3,0,3,25.86204326,24.35595511,23.16810116
80756,3504,CECRIN,45.8,31.4,4,0,4,27.71992666,26.10564381,24.83245653
725352,2516,CECROB,20,22.2,4,0,3,17.33584225,16.32628139,15.53003925
719036,1901,CECROB,21.3,22.2,4,0,3,18.07672467,17.02401818,16.19374701
713072,1305,CECROB,21.8,23.7,4,2,4,18.35313197,17.28432877,16.44136211
25041,4600,CEIBPE,23.5,19.7,2,0,3,19.25933829,18.13776174,17.25317266
2307,3609,CEIBPE,46.1,22.8,4,0,4,27.80275022,26.18364409,24.9066527
5444,1723,CEIBPE,93,32.7,4,0,5,36.00866068,33.91167953,32.25778741
5027,2012,CEIBPE,128.9,36,4,0,5,39.1179835,36.83992948,35.04322492
4722,2215,CEIBPE,97,36.9,4,0,5,36.43922915,34.31717364,32.64350533
4694,2210,CEIBPE,169.4,39.1,4,0,5,41.30711746,38.90157821,37.00432585
7772,420,CEIBPE,148.2,39.9,4,0,5,40.28304124,37.93713954,36.08692342
4146,2519,CEIBPE,153.2,41.1,4,0,5,40.54556942,38.18437927,36.32210512
1993,3812,CEIBPE,216.1,41.1,4,0,5,42.94736535,40.4463055,38.4737159
3853,2717,CEIBPE,127.9,37.4,4,1,5,39.05003103,36.77593426,34.98235078
6647,1003,CEIBPE,176.2,42.7,4,1,4,41.59161982,39.16951244,37.25919278
4446,2424,CEIBPE,46.1,26,3,2,4,27.80275022,26.18364409,24.9066527
28183,4616,CHIMPA,20.6,22.3,4,0,3,17.68185486,16.65214379,15.84000916
6847,920,CHR2AR,32.3,21.9,2,2,4,23.24696805,21.89317002,20.82542752
176143,1707,CHR2AR,28.8,20.1,4,2,3,21.78773509,20.51891618,19.51819683
2673,3413,CHR2CA,100.5,34.4,4,0,4,36.79506023,34.65228274,32.96227097
673,4521,CHR2CA,83.9,34.6,4,0,4,34.92097007,32.88733109,31.28339702
4898,2109,CHR2CA,75.2,31.9,4,1,3,33.71308563,31.74978837,30.20133292
4735,2217,CHR2CA,50.7,23.6,3,2,4,29.00119939,27.31230102,25.98026438
4585,2306,COLUGL,45.6,35,1,2,0,27.66437427,26.05332653,24.7826908
257823,115,CORDAL,27.3,26.9,4,0,4,21.11401953,19.88443476,18.91465943
258071,116,CORDAL,37.8,28.3,4,0,4,25.26469901,23.79339748,22.63297979
173632,1823,CORDBI,23.7,16.4,4,0,3,19.36266694,18.235073,17.345738
217175,912,CORDBI,21.9,20.3,4,0,3,18.40786091,17.33587055,16.49039016
236664,509,CORDBI,27.2,23.3,4,0,2,21.06799502,19.8410905,18.8734291
4385,2414,CORDBI,30.6,26.7,4,0,3,22.55698361,21.24336715,20.2073159
4836,2120,CORDBI,35.2,27.5,4,0,4,24.34917454,22.931189,21.81282172
7302,701,CORDBI,37.8,27.5,4,1,5,25.26469901,23.79339748,22.63297979
258076,116,CORDBI,26.5,16.5,4,2,2,20.74180241,19.53389387,18.58121463
409336,912,CORDBI,24.8,15.3,2,2,4,19.91918767,18.75918449,17.84428827
7347,606,CORDBI,35.3,18.1,4,2,3,24.38560572,22.9654986,21.84545802
6781,1019,CORDBI,30.1,19.5,3,2,3,22.34742084,21.04600837,20.01958243
252149,211,CORDBI,26.8,20.9,4,2,3,20.88246738,19.66636715,18.70722711
525,4606,CORDBI,44,26.9,3,2,2,27.21000937,25.62542178,24.37565522
805,4504,CUPALA,50,26.1,4,0,3,28.82707294,27.1483149,25.82427596
180376,1601,CUPALA,27.1,15.5,4,2,3,21.02182819,19.79761222,18.83207128
4443,2423,DENDAR,28.7,17.9,4,0,2,21.7437707,20.47751207,19.47881202
1390,4121,DENDAR,44.3,21.5,4,0,2,27.29657421,25.70694548,24.45320295
1089,4313,DENDAR,78.4,30.7,4,0,4,34.17889055,32.18846692,30.61861686
