Code,Full Name
acaldi,Acalypha diversifolia
ade1tr, Adelia triloba
alchco,Alchornea costaricensis
allops,Allophylus psilospermus
alsebl,Alseis blackiana
amaico,Amaioua corymbosa
anacex,Anacardium excelsum
andiin,Andira inermis
annosp,Annona spraguei
apeime,Apeiba membranacea
apeiti,Apeiba tibourbou
aspicr,Aspidosperma cruenta
ast2gr,Astronium graveolens
beilpe,Beilschmiedia pendula
brosal,Brosimum alicastrum
calolo,Calophyllum longifolium
casear,Casearia arborea
caseco,Casearia corymbosa
casesy,Casearia sylvestris
cassel,Castilla elastica
cavapl,Cavanillesia platanifolia
cecrin,Cecropia insignis
cecrob,Cecropia obtusifolia
ceibpe,Ceiba pentandra
celtsc,Celtis schippii
cha2sc,Chamguava schippii
chimpa,Chimarrhis parviflora
chr1ec,Chrysochlamys eclipes
chr2ar,Chrysophyllum argenteum
chr2ca,Chrysophyllum calycinum
colugl,Colubrina glandulosa
cordal,Cordia alliodora
cordbi,Cordia bicolor
cordla,Cordia lasiocalyx
cou2cu,Couepia cumingii
crotbi,Croton billbergianus
cupala,Cupania latifolia
cupasy,Cupania sylvatica
dendar,Dendropanax arboreus
des2pa,Desmopsis panamensis
diptpa,Dipteryx panamensis
drypst,Drypetes standleyi
eugeco,Eugenia colorata
eugene,Eugenia nesiotica
eugeoe,Eugenia oerstediana
faraoc,Faramea occidentalis
ficuc2,Ficus costaricana
ficuma,Ficus maxima
ficuob,Ficus obtusifolia
ficupo,Ficus popenoei
ficutr,Ficus trigonata
ficuyo,Ficus yoponensis
gar2in,Garcinia intermedia
gar2ma,Garcinia madruno
geniam,Genipa americana
guapst,NA
guargr,Guarea grandifolia
guargu,Guarea guidonia
guarsp,NA
guatdu,Guatteria dumetorum 
guazul,Guazuma ulmifolia
guetfo,Guettarda foliacea
gustsu,Gustavia superba
hampap,Hampea appendiculata
hassfl,Hasseltia floribunda
heisco,Heisteria concinna
hirttr,Hirtella triandra
huracr,Hura crepitans
hybapr,Pombalia prunifolia
hyeral,Hyeronima alchorneoides
ingago,Inga goldmanii
ingama,Inga marginata
ingape,Inga pezizifera
ingas1,NA
ingasa,Inga sapindoides
ingasp,Inga spectabilis
ingaum,Inga umbellifera
jac1co,Jacaranda copaia
laciag,Lacistema aggregatum
lacmpa,Lacmellea panamensis
laetpr,Laetia praemorsa
laetth,Laetia thamnia
lafopu,Lafoensia punicifolia
licapl,Licaria platycarpa
lindla,Lindackeria laurina
loncla,Lonchocarpus latifolius
luehse,Luehea seemannii
macrgl,Macrolobium gracile
malmsp,NA
maquco,Maquira costaricana
micoar,Miconia argentea
mourmy,Mouriri myrtifolia
myrofr,Myrocarpus frondosus
nectci,Nectandra cissiflora
ochrpy,Ochroma pyramidale
ocotob,Ocotea oblonga
ocotpu,Ocotea puberula
ocotwh,Ocotea whitei
ormocr,NA
ormoma,Ormosia macrocalyx
ouralu,Ouratea lucens
perexa,Pera exarata
phoeci,NA
picrla,Picramnia latifolia
pit1ma,Pithecellobium mangense
pla1pi,Platymiscium pinnatum
pla2el,Platypodium elegans
pochqu,Pochota quinata
pochse,Pochota sessilis
poular,Pouteria laurifolia
pourbi,Pourouma bicolor
poutfo,Pouteria fossicola
poutre,Pouteria reticulata
poutst,Pouteria stipitata
pri2co,Prioria copaifera
protco,Protium copal
protpa,Protium panamense
protte,Protium tenuifolium
pse1se,Pseudobombax septenatum
pterro,Pterocarpus rohrii
quaras,Quararibea asterolepis
quasam,Quassia amara
randar,Randia armata
rinosy,Rinorea sylvatica
sapiau,Sapium aucuparium
sapisp,NA
sch1zo,NA
simaam,Simarouba amara
sloate,Sloanea terniflora
solaha,Solanum hayesii
soroaf,Sorocea affinis
sponmo,Spondias mombin
sponra,Spondias radlkoferi
sterap,Sterculia apetala
swars1,Swartzia simplex_var.grandiflora
swars2,Swartzia simplex_var.ochnacea
sympgl,Symphonia globulifera
tab1gu,Tabebuia guayacan
tab1ro,Tabebuia rosea
tab2ar,Tabernaemontana arborea
tachve,Tachigalia versicolor
termam,Terminalia amazonia
termob,Terminalia oblonga
tet2pa,Tetragastris panamensis
tocopi,Tocoyena pittieri
tratas,Trattinnickia aspera
tremin,NA
tremmi,Trema micrantha
tri2pa,Triplaris panamensis
tri2tu,Trichilia tuberculata
tripcu,Triplaris cumingiana
turpoc,Turpinia occidentalis
unonpi,Unonopsis pittieri
virose,Virola sebifera
virosp,NA
virosu,Virola surinamensis
vochfe,Vochysia ferruginea
xyl1ma,Xylopia macrantha
zantbe,Zanthoxylum belizense
zantp1,Zanthoxylum panamense
zantpr,Zanthoxylum procerum
zuelgu,Zuelania guidonia